Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
CH_AgPd_211_hcp-s-2    2.522    2.874    2.866    0.923    2.607    7.667    3    -2.026    1.214    1.576    12.415    4.949    8.083    0.809    9.584    0.803    2.11    0.379    0.179    
CH_AgPd_211_fcc-t-2    2.519    2.874    2.884    0.923    2.607    9.667    3    -2.113    1.335    1.514    10.671    4.949    8.083    0.809    9.549    0.9    2.11    0.397    0.153    
CH_AgPd_211_hcp-t-1    2.441    2.874    2.88    0.923    2.607    9.333    3    -2.108    1.318    1.526    10.879    4.949    8.083    0.809    9.551    0.885    2.11    0.394    0.16    
CH_AgPd_211_hcp-t-2    3.469    2.929    2.888    0.907    2.433    9.333    3    -2.807    1.216    1.944    11.51    4.688    7.83    1.057    9.701    0.94    2.02    0.24    0.155    
CH_Au_211_four-fold-s    3.568    2.99    2.967    1.01    3.35    8.5    4    -3.223    1.395    1.453    9.6    5.28    9.226    2.309    9.718    1.257    2.54    0.088    0.237    
CH_Au_211_bridge2-s    3.793    2.99    2.936    1.01    3.35    7.0    2    -3.127    1.323    1.431    10.044    5.28    9.226    2.309    9.732    1.2    2.54    0.079    0.26    
CH_Au_211_fcc-s    3.319    2.99    2.967    1.01    3.35    8.333    3    -3.182    1.396    1.458    9.76    5.28    9.226    2.309    9.734    1.254    2.54    0.091    0.242    
CH_Au_211_hcp-s    3.307    2.99    2.951    1.01    3.35    7.667    3    -3.155    1.359    1.444    9.9    5.28    9.226    2.309    9.734    1.227    2.54    0.085    0.251    
CH_Au_211_fcc-t    3.594    2.99    2.993    1.01    3.35    9.667    3    -3.283    1.455    1.473    9.308    5.28    9.226    2.309    9.715    1.303    2.54    0.098    0.22    
CH_Au_211_hcp-t    3.508    2.99    2.988    1.01    3.35    9.333    3    -3.246    1.444    1.473    9.465    5.28    9.226    2.309    9.724    1.292    2.54    0.098    0.227    
CH_Cu_211_four-fold-s    2.401    2.603    2.577    0.67    1.0    8.5    4    -2.372    1.044    1.711    14.207    4.719    7.726    1.236    9.714    1.208    1.9    0.097    0.244    
CH_Cu_211_bridge2-s    3.456    2.603    2.556    0.67    1.0    7.0    2    -2.282    0.955    1.452    13.621    4.719    7.726    1.236    9.722    1.129    1.9    0.09    0.264    
CH_Cu_211_fcc-s    2.817    2.603    2.573    0.67    1.0    8.333    3    -2.355    1.063    1.935    15.964    4.719    7.726    1.236    9.692    1.202    1.9    0.1    0.247    
CH_Cu_211_hcp-s    2.789    2.603    2.564    0.67    1.0    7.667    3    -2.319    1.009    1.693    14.788    4.719    7.726    1.236    9.708    1.166    1.9    0.095    0.256    
CH_Cu_211_hcp-t    2.933    2.603    2.587    0.67    1.0    9.333    3    -2.415    1.122    2.107    16.356    4.719    7.726    1.236    9.687    1.255    1.9    0.105    0.234    
CH_Ag@Cu_211_four-fold-s-2    2.421    2.603    2.575    0.67    1.0    8.5    4    -2.394    1.056    1.596    13.849    4.719    7.726    1.236    9.764    1.23    1.9    0.097    0.257    
CH_Ag@Cu_211_bridge2-s-1    4.073    2.794    2.757    0.78    1.63    8.0    2    -3.229    1.054    2.287    16.613    4.573    7.651    1.27    9.791    1.03    1.915    0.066    0.274    
CH_Ag@Cu_211_bridge2-s-2    3.506    2.603    2.552    0.67    1.0    7.0    2    -2.316    0.977    1.235    12.981    4.719    7.726    1.236    9.796    1.173    1.9    0.089    0.29    
CH_Ag@Cu_211_fcc-s-2    2.802    2.603    2.576    0.67    1.0    8.333    3    -2.375    1.035    1.481    13.354    4.719    7.726    1.236    9.756    1.219    1.9    0.099    0.262    
CH_Ag@Cu_211_hcp-s-2    2.827    2.603    2.559    0.67    1.0    7.667    3    -2.348    1.021    1.475    13.783    4.719    7.726    1.236    9.782    1.194    1.9    0.094    0.274    
CH_Ag@Cu_211_hcp-t-1    2.938    2.603    2.602    0.67    1.0    9.333    3    -2.429    1.061    1.457    12.641    4.719    7.726    1.236    9.728    1.272    1.9    0.104    0.245    
CH_Ag@Cu_211_hcp-t-2    2.953    2.603    2.591    0.67    1.0    9.333    3    -2.427    1.088    1.721    13.933    4.719    7.726    1.236    9.734    1.257    1.9    0.105    0.24    
CH_Ir_211_four-fold-s    0.859    2.753    2.727    1.08    4.45    8.5    4    -1.846    2.584    0.717    4.829    5.489    9.121    1.564    7.753    1.272    2.2    1.436    0.178    
CH_Ir_211_bridge2-s    0.846    2.753    2.699    1.08    4.45    7.0    2    -1.706    2.442    0.66    4.932    5.489    9.121    1.564    7.8    1.214    2.2    1.538    0.258    
CH_Ir_211_fcc-s    1.067    2.753    2.709    1.08    4.45    8.333    3    -1.919    2.605    0.689    4.572    5.489    9.121    1.564    7.721    1.278    2.2    1.354    0.167    
CH_Ir_211_hcp-s    0.677    2.753    2.704    1.08    4.45    7.667    3    -1.813    2.522    0.671    4.737    5.489    9.121    1.564    7.761    1.246    2.2    1.446    0.213    
CH_Ir_211_fcc-t    1.025    2.753    2.741    1.08    4.45    9.667    3    -2.0    2.712    0.747    4.601    5.489    9.121    1.564    7.699    1.323    2.2    1.311    0.106    
CH_Ir_211_hcp-t    0.949    2.753    2.728    1.08    4.45    9.333    3    -2.013    2.697    0.721    4.475    5.489    9.121    1.564    7.69    1.316    2.2    1.287    0.114    
CH_Pd@Ir_211_four-fold-s-1    1.061    2.77    2.746    1.045    4.032    8.5    4    -1.954    2.371    0.701    5.123    5.42    8.925    1.314    8.1    1.169    2.2    1.257    0.161    
CH_Pd@Ir_211_four-fold-s-2    0.936    2.753    2.723    1.08    4.45    8.5    4    -1.863    2.581    0.738    4.898    5.489    9.121    1.564    7.743    1.265    2.2    1.479    0.182    
CH_Pd@Ir_211_bridge2-s-1    1.45    2.786    2.742    1.01    3.615    7.0    2    -1.915    2.013    0.628    5.531    5.35    8.729    1.063    8.502    1.017    2.2    1.179    0.218    
CH_Pd@Ir_211_bridge2-s-2    0.901    2.753    2.692    1.08    4.45    7.0    2    -1.717    2.428    0.704    5.109    5.489    9.121    1.564    7.798    1.203    2.2    1.659    0.262    
CH_Pd@Ir_211_fcc-s-1    1.228    2.775    2.747    1.033    3.893    8.333    3    -1.997    2.273    0.653    5.014    5.396    8.86    1.23    8.196    1.139    2.2    1.148    0.152    
CH_Pd@Ir_211_fcc-s-2    0.928    2.753    2.708    1.08    4.45    8.333    3    -1.881    2.611    0.765    4.967    5.489    9.121    1.564    7.715    1.264    2.2    1.446    0.175    
CH_Pd@Ir_211_hcp-s-1    0.953    2.775    2.736    1.033    3.893    7.667    3    -1.923    2.212    0.653    5.202    5.396    8.86    1.23    8.232    1.109    2.2    1.243    0.192    
CH_Pd@Ir_211_hcp-s-2    0.829    2.753    2.697    1.08    4.45    7.667    3    -1.806    2.55    0.765    5.155    5.489    9.121    1.564    7.751    1.234    2.2    1.542    0.215    
CH_Pd@Ir_211_fcc-t-1    1.066    2.753    2.741    1.08    4.45    9.667    3    -1.974    2.689    0.75    4.659    5.489    9.121    1.564    7.696    1.311    2.2    1.347    0.117    
CH_Pd@Ir_211_fcc-t-2    1.028    2.753    2.738    1.08    4.45    9.667    3    -2.002    2.753    0.81    4.873    5.489    9.121    1.564    7.677    1.317    2.2    1.302    0.108    
CH_Pd@Ir_211_hcp-t-1    0.811    2.753    2.732    1.08    4.45    9.333    3    -1.95    2.648    0.727    4.612    5.489    9.121    1.564    7.697    1.299    2.2    1.372    0.13    
CH_Pd@Ir_211_hcp-t-2    0.973    2.753    2.729    1.08    4.45    9.333    3    -1.978    2.712    0.788    4.826    5.489    9.121    1.564    7.678    1.305    2.2    1.326    0.121    
CH_IrRu_211_four-fold-s-1    0.818    2.743    2.712    1.065    4.16    8.5    4    -1.568    2.356    0.636    4.707    5.189    8.241    1.305    7.367    1.073    2.2    1.537    0.219    
CH_IrRu_211_four-fold-s-2    0.721    2.743    2.712    1.065    4.16    8.5    4    -1.568    2.356    0.636    4.707    5.189    8.241    1.305    7.367    1.073    2.2    1.537    0.219    
CH_IrRu_211_bridge2-s-1    1.039    2.743    2.689    1.065    4.16    7.0    2    -1.446    2.214    0.595    4.915    5.189    8.241    1.305    7.398    1.005    2.2    1.807    0.322    
CH_IrRu_211_bridge2-s-2    1.088    2.743    2.689    1.065    4.16    7.0    2    -1.446    2.214    0.595    4.915    5.189    8.241    1.305    7.398    1.005    2.2    1.807    0.322    
CH_IrRu_211_fcc-s-1    1.223    2.746    2.698    1.07    4.257    8.333    3    -1.694    2.404    0.728    4.801    5.289    8.534    1.391    7.456    1.118    2.2    1.556    0.229    
CH_IrRu_211_fcc-s-2    1.211    2.739    2.701    1.06    4.063    8.333    3    -1.531    2.352    0.573    4.588    5.089    7.948    1.219    7.234    1.027    2.2    1.702    0.184    
CH_IrRu_211_hcp-s-1    0.689    2.746    2.694    1.07    4.257    7.667    3    -1.614    2.327    0.712    4.987    5.289    8.534    1.391    7.472    1.087    2.2    1.643    0.272    
CH_IrRu_211_hcp-s-2    0.76    2.739    2.695    1.06    4.063    7.667    3    -1.445    2.265    0.533    4.622    5.089    7.948    1.219    7.272    0.991    2.2    1.793    0.256    
CH_IrRu_211_fcc-t-1    1.145    2.746    2.725    1.07    4.257    9.667    3    -1.777    2.517    0.766    4.709    5.289    8.534    1.391    7.43    1.177    2.2    1.283    0.134    
CH_IrRu_211_fcc-t-2    1.081    2.739    2.725    1.06    4.063    9.667    3    -1.608    2.455    0.587    4.345    5.089    7.948    1.219    7.23    1.081    2.2    1.432    0.119    
CH_IrRu_211_hcp-t-1    0.961    2.739    2.716    1.06    4.063    9.333    3    -1.603    2.444    0.593    4.399    5.089    7.948    1.219    7.23    1.072    2.2    1.521    0.133    
CH_IrRu_211_hcp-t-2    0.921    2.746    2.713    1.07    4.257    9.333    3    -1.785    2.501    0.762    4.712    5.289    8.534    1.391    7.419    1.163    2.2    1.377    0.143    
CH_Ni_211_four-fold-s    0.953    2.502    2.484    0.71    1.16    8.5    4    -1.225    1.768    2.678    17.369    4.945    7.64    1.157    8.817    1.232    1.91    1.796    0.169    
CH_Ni_211_fcc-s    1.318    2.502    2.476    0.71    1.16    8.333    3    -1.236    1.755    2.642    17.151    4.945    7.64    1.157    8.821    1.231    1.91    1.903    0.169    
CH_Ni_211_hcp-s    1.202    2.502    2.47    0.71    1.16    7.667    3    -1.2    1.701    2.672    17.722    4.945    7.64    1.157    8.842    1.186    1.91    1.883    0.194    
CH_Ni_211_hcp-t    1.338    2.502    2.489    0.71    1.16    9.333    3    -1.28    1.837    2.625    16.521    4.945    7.64    1.157    8.791    1.292    1.91    1.847    0.136    
CH_Au@Ni_211_four-fold-s-2    0.903    2.502    2.482    0.71    1.16    8.5    4    -1.225    1.788    2.567    16.833    4.945    7.64    1.157    8.741    1.246    1.91    1.953    0.164    
CH_Au@Ni_211_bridge2-s-2    1.885    2.502    2.465    0.71    1.16    7.0    2    -1.149    1.674    2.475    17.257    4.945    7.64    1.157    8.768    1.173    1.91    2.065    0.214    
CH_Au@Ni_211_fcc-s-2    1.284    2.502    2.483    0.71    1.16    8.333    3    -1.218    1.763    2.529    16.689    4.945    7.64    1.157    8.723    1.235    1.91    1.988    0.167    
CH_Au@Ni_211_hcp-s-2    1.209    2.502    2.468    0.71    1.16    7.667    3    -1.193    1.726    2.512    16.91    4.945    7.64    1.157    8.746    1.206    1.91    2.012    0.19    
CH_Au@Ni_211_fcc-t-1    1.471    2.502    2.508    0.71    1.16    9.667    3    -1.261    1.864    2.577    16.318    4.945    7.64    1.157    8.691    1.303    1.91    1.856    0.126    
CH_Au@Ni_211_hcp-t-1    1.436    2.502    2.511    0.71    1.16    9.333    3    -1.235    1.826    2.533    16.381    4.945    7.64    1.157    8.689    1.283    1.91    1.907    0.137    
CH_Au@Ni_211_hcp-t-2    1.305    2.502    2.495    0.71    1.16    9.333    3    -1.268    1.839    2.59    16.407    4.945    7.64    1.157    8.709    1.284    1.91    1.915    0.134    
CH_Pd_211_four-fold-s    1.443    2.819    2.808    0.94    2.78    8.5    4    -1.628    1.333    0.665    5.397    5.21    8.337    0.562    9.293    0.751    2.2    2.125    0.13    
CH_Pd_211_bridge2-s    2.29    2.819    2.79    0.94    2.78    7.0    2    -1.5    1.244    0.602    5.726    5.21    8.337    0.562    9.334    0.682    2.2    2.15    0.15    
CH_Pd_211_fcc-s    1.464    2.819    2.803    0.94    2.78    8.333    3    -1.59    1.329    0.592    5.089    5.21    8.337    0.562    9.303    0.743    2.2    2.269    0.133    
CH_Pd_211_hcp-s    1.439    2.819    2.796    0.94    2.78    7.667    3    -1.545    1.287    0.597    5.407    5.21    8.337    0.562    9.319    0.712    2.2    2.211    0.141    
CH_Pd_211_fcc-t    1.529    2.819    2.82    0.94    2.78    9.667    3    -1.715    1.405    0.682    4.968    5.21    8.337    0.562    9.265    0.804    2.2    2.178    0.115    
CH_Pd_211_hcp-t    1.418    2.819    2.814    0.94    2.78    9.333    3    -1.677    1.386    0.62    4.792    5.21    8.337    0.562    9.276    0.789    2.2    2.252    0.12    
CH_Pt_211_four-fold-s    1.496    2.838    2.817    1.04    3.9    8.5    4    -1.995    1.985    0.829    5.644    5.75    8.959    2.125    8.806    1.165    2.28    1.597    0.135    
CH_Pt_211_bridge2-s    1.472    2.838    2.781    1.04    3.9    7.0    2    -1.895    1.891    0.786    5.804    5.75    8.959    2.125    8.812    1.101    2.28    1.72    0.176    
CH_Pt_211_fcc-s    1.153    2.838    2.807    1.04    3.9    8.333    3    -1.989    2.003    0.825    5.621    5.75    8.959    2.125    8.786    1.167    2.28    1.766    0.145    
CH_Pt_211_hcp-s    1.063    2.838    2.794    1.04    3.9    7.667    3    -1.942    1.947    0.805    5.711    5.75    8.959    2.125    8.8    1.133    2.28    1.742    0.16    
CH_Pt_211_fcc-t    1.29    2.838    2.842    1.04    3.9    9.667    3    -2.076    2.073    0.864    5.498    5.75    8.959    2.125    8.792    1.219    2.28    1.579    0.106    
CH_Pt_211_hcp-t    1.198    2.838    2.831    1.04    3.9    9.333    3    -2.056    2.066    0.854    5.513    5.75    8.959    2.125    8.78    1.21    2.28    1.684    0.118    
CH_PtRh_211_four-fold-s-1    1.174    2.786    2.766    1.015    3.61    8.5    4    -1.723    2.128    1.411    8.574    5.414    8.209    1.634    8.36    1.135    2.28    1.817    0.156    
CH_PtRh_211_four-fold-s-2    1.313    2.786    2.766    1.015    3.61    8.5    4    -1.723    2.128    1.411    8.574    5.414    8.209    1.634    8.36    1.135    2.28    1.817    0.156    
CH_PtRh_211_bridge2-s-1    1.482    2.786    2.739    1.015    3.61    7.0    2    -1.617    1.974    1.3    8.401    5.414    8.209    1.634    8.421    1.065    2.28    1.865    0.212    
CH_PtRh_211_bridge2-s-2    1.391    2.786    2.739    1.015    3.61    7.0    2    -1.617    1.974    1.3    8.401    5.414    8.209    1.634    8.421    1.065    2.28    1.865    0.212    
CH_PtRh_211_fcc-s-1    1.447    2.803    2.758    1.023    3.707    8.333    3    -1.871    2.11    1.38    8.176    5.526    8.459    1.798    8.491    1.122    2.28    1.804    0.159    
CH_PtRh_211_fcc-s-2    1.07    2.769    2.75    1.007    3.513    8.333    3    -1.619    2.166    1.432    8.879    5.302    7.959    1.47    8.23    1.143    2.28    2.133    0.16    
CH_PtRh_211_hcp-s-1    0.982    2.769    2.744    1.007    3.513    7.667    3    -1.549    2.078    1.371    8.771    5.302    7.959    1.47    8.258    1.115    2.28    2.082    0.188    
CH_PtRh_211_hcp-s-2    1.078    2.803    2.749    1.023    3.707    7.667    3    -1.814    2.034    1.334    8.158    5.526    8.459    1.798    8.523    1.083    2.28    1.752    0.184    
CH_PtRh_211_fcc-t-1    1.113    2.769    2.779    1.007    3.513    9.667    3    -1.69    2.284    1.52    9.002    5.302    7.959    1.47    8.177    1.208    2.28    2.017    0.114    
CH_PtRh_211_fcc-t-2    1.423    2.803    2.785    1.023    3.707    9.667    3    -1.955    2.239    1.483    8.389    5.526    8.459    1.798    8.442    1.177    2.28    1.687    0.11    
CH_PtRh_211_hcp-t-1    1.029    2.769    2.77    1.007    3.513    9.333    3    -1.666    2.268    1.504    9.013    5.302    7.959    1.47    8.19    1.2    2.28    2.076    0.126    
CH_PtRh_211_hcp-t-2    1.288    2.803    2.773    1.023    3.707    9.333    3    -1.966    2.213    1.456    8.274    5.526    8.459    1.798    8.449    1.158    2.28    1.796    0.119    
CH_Rh_211_four-fold-s    0.967    2.734    2.714    0.99    3.32    8.5    4    -1.395    2.276    1.931    11.24    5.078    7.459    1.143    7.91    1.066    2.28    1.921    0.173    
CH_Rh_211_bridge2-s    1.419    2.734    2.694    0.99    3.32    7.0    2    -1.293    2.099    1.886    11.48    5.078    7.459    1.143    7.969    0.987    2.28    2.07    0.24    
CH_Rh_211_fcc-s    1.198    2.734    2.703    0.99    3.32    8.333    3    -1.426    2.27    1.892    10.993    5.078    7.459    1.143    7.906    1.063    2.28    1.918    0.171    
CH_Rh_211_hcp-s    0.9    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.184    1.889    11.239    5.078    7.459    1.143    7.937    1.025    2.28    1.994    0.206    
CH_Rh_211_fcc-t    1.132    2.734    2.725    0.99    3.32    9.667    3    -1.496    2.419    1.95    10.919    5.078    7.459    1.143    7.858    1.13    2.28    1.796    0.116    
CH_Rh_211_hcp-t    1.01    2.734    2.716    0.99    3.32    9.333    3    -1.494    2.387    1.923    10.835    5.078    7.459    1.143    7.865    1.115    2.28    1.819    0.127    
CH_Pt@Rh_211_four-fold-s-1    1.121    2.76    2.724    1.003    3.465    8.5    4    -1.579    2.227    1.748    10.036    5.246    7.834    1.388    8.104    1.081    2.28    1.707    0.164    
CH_Pt@Rh_211_four-fold-s-2    0.963    2.734    2.713    0.99    3.32    8.5    4    -1.396    2.301    1.943    11.395    5.078    7.459    1.143    7.893    1.074    2.28    1.975    0.168    
CH_Pt@Rh_211_bridge2-s-1    1.537    2.786    2.714    1.015    3.61    7.0    2    -1.667    1.96    1.45    8.576    5.414    8.209    1.634    8.369    1.009    2.28    1.633    0.221    
CH_Pt@Rh_211_bridge2-s-2    1.402    2.734    2.696    0.99    3.32    7.0    2    -1.293    2.108    1.809    11.161    5.078    7.459    1.143    7.953    1.01    2.28    2.157    0.231    
CH_Pt@Rh_211_fcc-s-1    1.375    2.769    2.72    1.007    3.513    8.333    3    -1.66    2.171    1.592    9.071    5.302    7.959    1.47    8.173    1.081    2.28    1.629    0.163    
CH_Pt@Rh_211_fcc-s-2    1.183    2.734    2.704    0.99    3.32    8.333    3    -1.418    2.273    1.848    10.83    5.078    7.459    1.143    7.892    1.074    2.28    1.975    0.168    
CH_Pt@Rh_211_hcp-s-1    1.051    2.769    2.714    1.007    3.513    7.667    3    -1.601    2.09    1.581    9.254    5.302    7.959    1.47    8.201    1.045    2.28    1.719    0.194    
CH_Pt@Rh_211_hcp-s-2    0.893    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.192    1.837    11.014    5.078    7.459    1.143    7.921    1.038    2.28    2.064    0.199    
CH_Pt@Rh_211_fcc-t-1    1.169    2.734    2.727    0.99    3.32    9.667    3    -1.484    2.446    1.978    11.2    5.078    7.459    1.143    7.849    1.141    2.28    1.818    0.117    
CH_Pt@Rh_211_fcc-t-2    1.146    2.734    2.722    0.99    3.32    9.667    3    -1.497    2.45    2.016    11.326    5.078    7.459    1.143    7.841    1.123    2.28    1.822    0.115    
CH_Pt@Rh_211_hcp-t-1    1.015    2.734    2.721    0.99    3.32    9.333    3    -1.474    2.398    1.9    10.861    5.078    7.459    1.143    7.86    1.134    2.28    1.85    0.129    
CH_Pt@Rh_211_hcp-t-2    1.009    2.734    2.716    0.99    3.32    9.333    3    -1.487    2.402    1.938    10.986    5.078    7.459    1.143    7.852    1.116    2.28    1.854    0.127    
